Location,Sale Date,Sale Price,Model,Living Area,Nbhd
8000 TELEGRAPH RD,07/28/2022,"$636,000.00",Residential,2596,Highwood
8009 TELEGRAPH RD,03/25/2022,"$700,000.00",Residential,2797,Highwood
7941 TELEGRAPH RD,08/16/2021,"$570,000.00",Residential,2104,Highwood
8156 TELEGRAPH RD,05/10/2021,"$675,000.00",Residential,2668,Highwood
8156 TELEGRAPH RD,08/27/2020,"$619,000.00",Residential,2668,Highwood
7939 TIERNEY'S WOODS RD,11/17/2021,"$465,000.00",Residential,1359,Highwood
9151 DECATUR AVE S,04/03/2020,"$525,000.00",Residential,2294,Bush Lake
9159 DECATUR AVE S,10/21/2020,"$550,000.00",Residential,2399,Bush Lake
9167 DECATUR AVE S,11/25/2020,"$550,000.00",Residential,2540,Bush Lake
8300 W 93RD ST,01/10/2020,"$544,899.00",Residential,2568,Bush Lake
8301 W 93RD ST,02/18/2022,"$625,000.00",Residential,2483,Bush Lake
8301 W 93RD ST,02/12/2020,"$535,000.00",Residential,2483,Bush Lake
11 E 107TH ST CIR,11/30/2021,"$554,000.00",Residential,2078,Pond-Dakota Mission
5910 W 98TH ST,05/10/2022,"$510,000.00",Residential,1286,Hyland Greens
9216 GARFIELD CIR,12/06/2022,"$100,000.00",Vacant,0,
4201 AMERICAN BLVD W,02/14/2020,"$6,250,000.00",Commercial,61927,
520 W 86TH ST,03/11/2022,"$1,100,000.00",Commercial,5500,
8500 HARRIET AVE S,03/11/2022,"$1,100,000.00",Vacant,0,
4716 KINGSDALE DR,03/24/2022,"$600,000.00",Residential,2394,Collegeview
3912 W 110TH ST,05/07/2020,"$280,000.00",Residential,1417,Valley West
8655 BRYANT AVE S,04/23/2020,"$280,000.00",Residential,1113,Bryant Lake
8001 RHODE ISLAND CIR,05/20/2022,"$647,200.00",Residential,2527,Highwood
7943 RHODE ISLAND CIR,09/02/2020,"$650,000.00",Residential,3125,Highwood
7907 RHODE ISLAND CIR,11/08/2021,"$510,000.00",Residential,1672,Highwood
7410 W 114TH ST,03/11/2022,"$660,000.00",Residential,2437,Auto Club
7316 AUTO CLUB RD,01/29/2021,"$676,000.00",Residential,2796,Auto Club
9224 YUKON AVE S,10/28/2021,"$630,000.00",Residential,1979,Bush Lake
8117 TELEGRAPH RD,11/20/2020,"$639,000.00",Residential,2750,Highwood
10606 LOUISIANA CIR,09/19/2022,"$408,000.00",Residential,1218,Countryside
10628 DAISY CIR,08/13/2021,"$420,000.00",Residential,1204,Countryside
10632 DAISY CIR,05/05/2021,"$450,000.00",Residential,1548,Countryside
7400 W 109TH ST,05/06/2022,"$1,325,000.00",Commercial,7291,
231 NORMAN RIDGE DR,10/12/2020,"$390,000.00",Residential,4994,Norman Ridge Sub Nbh
4801 W 81ST ST,12/22/2021,"$15,750,018.00",Commercial,62068,
7831 E BUSH LAKE RD,09/22/2021,"$3,000,000.00",Commercial,34849,
7542 W 111TH ST,05/02/2022,"$380,000.00",Residential,1072,Willamsberg Village
7542 W 111TH ST,03/19/2020,"$317,000.00",Residential,1072,Willamsberg Village
7527 W 111TH ST,10/16/2020,"$320,000.00",Residential,1260,Willamsberg Village
7505 W 111TH ST,11/24/2021,"$332,333.00",Residential,1260,Willamsberg Village
7536 W 111TH ST,11/16/2021,"$357,500.00",Residential,938,Willamsberg Village
7526 W 111TH ST,03/04/2021,"$250,000.00",Residential,1191,Willamsberg Village
9425 TOLEDO AVE S,09/24/2020,"$515,000.00",Residential,2262,Collegeview
10472 COLORADO CIR,10/05/2020,"$248,500.00",Residential,884,West Side RZ's
8805 18TH AVE S,03/15/2022,"$265,000.00",Residential,856,Running Park
801 W 106TH ST,01/10/2020,"$3,200,000.00",Commercial,43850,
7808 CREEKRIDGE CIR,12/21/2022,"$4,040,000.00",Commercial,12655,
5748 AUTO CLUB CIR,08/03/2020,"$460,000.00",Residential,1853,Auto Club
5742 AUTO CLUB CIR,10/12/2021,"$545,000.00",Residential,2091,Auto Club
5706 AUTO CLUB CIR,05/17/2021,"$562,500.00",Residential,2145,Auto Club
8803 18TH AVE S,09/07/2022,"$200,000.00",Residential,856,Running Park
9939 PORTLAND AVE S,02/11/2022,"$293,000.00",Residential,986,Pond-Dakota Mission
5100 W 93RD ST,09/30/2021,"$575,000.00",Residential,2394,Collegeview
4956 W 93RD ST,11/18/2021,"$502,000.00",Residential,1632,Collegeview
9316 RICH RD,11/02/2021,"$555,000.00",Residential,2292,Collegeview
9319 RICH RD,05/17/2021,"$595,000.00",Residential,2324,Collegeview
9307 QUINN RD,06/15/2020,"$527,000.00",Residential,2420,Collegeview
9337 QUINN RD,11/18/2022,"$650,000.00",Residential,2436,Collegeview
9356 PALMER RD,04/01/2021,"$613,000.00",Residential,2432,Collegeview
9308 PALMER RD,06/24/2020,"$560,000.00",Residential,2316,Collegeview
9301 PALMER RD,11/19/2020,"$535,000.00",Residential,2669,Collegeview
9224 COLLEGEVIEW CIR,01/28/2021,"$470,000.00",Residential,2264,Collegeview
9554 OXBOROUGH CURVE,10/29/2021,"$605,000.00",Residential,3013,Collegeview
8700 LYNDALE AVE S,12/06/2021,"$1,000,000.00",Commercial,2823,
10004 PARK CIR,08/31/2021,"$489,900.00",Residential,1914,Pond-Dakota Mission
10028 PARK CIR,10/30/2020,"$372,000.00",Residential,1106,Pond-Dakota Mission
306 PORTLAND PL,11/15/2021,"$325,000.00",Residential,1090,Pond-Dakota Mission
11168 SUMTER CIR,09/18/2020,"$416,000.00",Residential,1550,Countryside
11170 SUMTER CIR,11/08/2022,"$425,000.00",Residential,1038,Countryside
11170 SUMTER CIR,07/08/2020,"$402,500.00",Residential,1038,Countryside
11172 SUMTER CIR,11/30/2021,"$405,000.00",Residential,1330,Countryside
